Date/time,Location,Picture Name,Predicted NO2
2021-04-17 02:15:06.097692,"(-0.6482987403869629, -1.7009201049804688)",bergson_img_2021-04-17_02:14:43.jpg,low
2021-04-17 02:15:27.016260,"(-0.6630019545555115, -1.6791011095046997)",bergson_img_2021-04-17_02:15:06.jpg,low
2021-04-17 02:15:47.988209,"(-0.6767528653144836, -1.6578218936920166)",bergson_img_2021-04-17_02:15:27.jpg,low
2021-04-17 02:16:10.307416,"(-0.6922455430030823, -1.6327282190322876)",bergson_img_2021-04-17_02:15:47.jpg,low
2021-04-17 02:16:31.158887,"(-0.7060750722885132, -1.609216332435608)",bergson_img_2021-04-17_02:16:10.jpg,low
2021-04-17 02:16:52.040331,"(-0.7195867896080017, -1.5851138830184937)",bergson_img_2021-04-17_02:16:31.jpg,low
2021-04-17 02:17:14.664576,"(-0.7333829402923584, -1.5592130422592163)",bergson_img_2021-04-17_02:16:52.jpg,low
2021-04-17 02:17:35.374100,"(-0.746191680431366, -1.53385329246521)",bergson_img_2021-04-17_02:17:14.jpg,low
2021-04-17 02:17:56.065822,"(-0.7586304545402527, -1.5078588724136353)",bergson_img_2021-04-17_02:17:35.jpg,low
2021-04-17 02:18:18.317826,"(-0.7712449431419373, -1.479933261871338)",bergson_img_2021-04-17_02:17:56.jpg,low
2021-04-17 02:18:39.260869,"(-0.7828689217567444, -1.452605962753296)",bergson_img_2021-04-17_02:18:18.jpg,low
2021-04-17 02:19:00.267233,"(-0.7940659523010254, -1.4246160984039307)",bergson_img_2021-04-17_02:18:39.jpg,low
2021-04-17 02:19:22.541736,"(-0.8053169846534729, -1.3945785760879517)",bergson_img_2021-04-17_02:19:00.jpg,low
2021-04-17 02:19:43.979185,"(-0.8155785202980042, -1.3652235269546509)",bergson_img_2021-04-17_02:19:22.jpg,low
2021-04-17 02:20:06.902029,"(-0.8262574672698975, -1.3323110342025757)",bergson_img_2021-04-17_02:19:43.jpg,low
2021-04-17 02:20:28.673850,"(-0.8359007239341736, -1.3000928163528442)",bergson_img_2021-04-17_02:20:06.jpg,low
2021-04-17 02:20:50.303589,"(-0.844961941242218, -1.267167568206787)",bergson_img_2021-04-17_02:20:28.jpg,low
2021-04-17 02:21:13.313403,"(-0.8537880182266235, -1.2320106029510498)",bergson_img_2021-04-17_02:20:50.jpg,low
2021-04-17 02:21:35.051417,"(-0.8615883588790894, -1.197704792022705)",bergson_img_2021-04-17_02:21:13.jpg,low
2021-04-17 02:21:56.297887,"(-0.8684284687042236, -1.1643694639205933)",bergson_img_2021-04-17_02:21:35.jpg,low
2021-04-17 02:22:18.799024,"(-0.8749399185180664, -1.1288658380508423)",bergson_img_2021-04-17_02:21:56.jpg,low
2021-04-17 02:22:39.692699,"(-0.8805132508277893, -1.0944607257843018)",bergson_img_2021-04-17_02:22:18.jpg,low
2021-04-17 02:23:00.549516,"(-0.885443389415741, -1.0595959424972534)",bergson_img_2021-04-17_02:22:39.jpg,low
2021-04-17 02:23:23.075882,"(-0.8900882005691528, -1.0209403038024902)",bergson_img_2021-04-17_02:23:00.jpg,low
2021-04-17 02:23:43.974835,"(-0.8934731483459473, -0.9869791865348816)",bergson_img_2021-04-17_02:23:23.jpg,low
2021-04-17 02:24:06.394218,"(-0.8966010212898254, -0.9475913047790527)",bergson_img_2021-04-17_02:23:43.jpg,low
2021-04-17 02:24:27.371534,"(-0.8987329006195068, -0.9113823771476746)",bergson_img_2021-04-17_02:24:06.jpg,low
2021-04-17 02:24:48.493249,"(-0.9001666903495789, -0.875004231929779)",bergson_img_2021-04-17_02:24:27.jpg,low
2021-04-17 02:25:10.753777,"(-0.9009150862693787, -0.8367841243743896)",bergson_img_2021-04-17_02:24:48.jpg,low
2021-04-17 02:25:32.222845,"(-0.9008896946907043, -0.7985280156135559)",bergson_img_2021-04-17_02:25:10.jpg,low
2021-04-17 02:25:53.607734,"(-0.9001438021659851, -0.7620487213134766)",bergson_img_2021-04-17_02:25:32.jpg,low
2021-04-17 02:26:15.851918,"(-0.898608922958374, -0.7239462733268738)",bergson_img_2021-04-17_02:25:53.jpg,low
2021-04-17 02:26:37.037958,"(-0.8963084816932678, -0.6860350370407104)",bergson_img_2021-04-17_02:26:15.jpg,low
2021-04-17 02:26:58.524514,"(-0.8934057354927063, -0.6500924229621887)",bergson_img_2021-04-17_02:26:37.jpg,low
2021-04-17 02:27:21.748451,"(-0.8894451856613159, -0.6110744476318359)",bergson_img_2021-04-17_02:26:58.jpg,low
2021-04-17 02:27:43.309518,"(-0.8849055171012878, -0.5741596221923828)",bergson_img_2021-04-17_02:27:21.jpg,low
2021-04-17 02:28:05.867566,"(-0.8796462416648865, -0.5377033352851868)",bergson_img_2021-04-17_02:27:43.jpg,low
2021-04-17 02:28:26.798511,"(-0.8739700317382812, -0.5033820271492004)",bergson_img_2021-04-17_02:28:05.jpg,low
2021-04-17 02:28:47.703207,"(-0.8676692843437195, -0.4695702791213989)",bergson_img_2021-04-17_02:28:26.jpg,low
2021-04-17 02:29:09.912365,"(-0.8604171872138977, -0.43473532795906067)",bergson_img_2021-04-17_02:28:47.jpg,low
2021-04-17 02:29:30.807473,"(-0.8528918623924255, -0.4020769000053406)",bergson_img_2021-04-17_02:29:09.jpg,low
2021-04-17 02:29:51.748438,"(-0.8447967767715454, -0.3700246512889862)",bergson_img_2021-04-17_02:29:30.jpg,low
2021-04-17 02:30:14.543451,"(-0.8352999687194824, -0.33564046025276184)",bergson_img_2021-04-17_02:29:51.jpg,low
2021-04-17 02:30:35.747467,"(-0.826074481010437, -0.3049216568470001)",bergson_img_2021-04-17_02:30:14.jpg,low
2021-04-17 02:30:56.587342,"(-0.8163403868675232, -0.27485954761505127)",bergson_img_2021-04-17_02:30:35.jpg,low
2021-04-17 02:31:18.856913,"(-0.8056191802024841, -0.24407793581485748)",bergson_img_2021-04-17_02:30:56.jpg,low
2021-04-17 02:31:39.870956,"(-0.7949063777923584, -0.21537846326828003)",bergson_img_2021-04-17_02:31:18.jpg,low
2021-04-17 02:32:00.935776,"(-0.7837460041046143, -0.18734556436538696)",bergson_img_2021-04-17_02:31:39.jpg,low
